# Time,Step,PotEng
2.134000000000000000e+05,2.134000000000000000e+06,-9.356915100000000166e+03
2.136000000000000000e+05,2.136000000000000000e+06,-9.335426199999999881e+03
2.138000000000000000e+05,2.138000000000000000e+06,-9.351656399999999849e+03
2.140000000000000000e+05,2.140000000000000000e+06,-9.356129199999999400e+03
2.142000000000000000e+05,2.142000000000000000e+06,-9.343640199999999822e+03
2.144000000000000000e+05,2.144000000000000000e+06,-9.348610199999999168e+03
2.146000000000000000e+05,2.146000000000000000e+06,-9.349865999999999985e+03
2.148000000000000000e+05,2.148000000000000000e+06,-9.347236399999999776e+03
2.150000000000000000e+05,2.150000000000000000e+06,-9.348705099999999220e+03
2.152000000000000000e+05,2.152000000000000000e+06,-9.350543200000000070e+03
2.154000000000000000e+05,2.154000000000000000e+06,-9.344493300000000090e+03
2.156000000000000000e+05,2.156000000000000000e+06,-9.346930700000000797e+03
2.158000000000000000e+05,2.158000000000000000e+06,-9.343808899999999994e+03
2.160000000000000000e+05,2.160000000000000000e+06,-9.346727399999999761e+03
2.162000000000000000e+05,2.162000000000000000e+06,-9.353840700000000652e+03
2.164000000000000000e+05,2.164000000000000000e+06,-9.341711900000000242e+03
2.166000000000000000e+05,2.166000000000000000e+06,-9.340381900000000314e+03
2.168000000000000000e+05,2.168000000000000000e+06,-9.351851800000000367e+03
2.170000000000000000e+05,2.170000000000000000e+06,-9.348555299999999988e+03
2.172000000000000000e+05,2.172000000000000000e+06,-9.353983000000000175e+03
2.174000000000000000e+05,2.174000000000000000e+06,-9.348121399999999994e+03
2.176000000000000000e+05,2.176000000000000000e+06,-9.351014100000000326e+03
2.178000000000000000e+05,2.178000000000000000e+06,-9.348089599999999336e+03
2.180000000000000000e+05,2.180000000000000000e+06,-9.349966500000000451e+03
2.182000000000000000e+05,2.182000000000000000e+06,-9.343738900000000285e+03
2.184000000000000000e+05,2.184000000000000000e+06,-9.349018500000000131e+03
2.186000000000000000e+05,2.186000000000000000e+06,-9.351231799999999566e+03
2.188000000000000000e+05,2.188000000000000000e+06,-9.334504199999999400e+03
2.190000000000000000e+05,2.190000000000000000e+06,-9.350533400000000256e+03
2.192000000000000000e+05,2.192000000000000000e+06,-9.342856299999999464e+03
2.194000000000000000e+05,2.194000000000000000e+06,-9.346348900000000867e+03
2.196000000000000000e+05,2.196000000000000000e+06,-9.347577100000000428e+03
2.198000000000000000e+05,2.198000000000000000e+06,-9.348302200000000084e+03
2.200000000000000000e+05,2.200000000000000000e+06,-9.343520399999999427e+03
2.202000000000000000e+05,2.202000000000000000e+06,-9.349149400000000242e+03
2.204000000000000000e+05,2.204000000000000000e+06,-9.351606599999999162e+03
2.206000000000000000e+05,2.206000000000000000e+06,-9.333169299999999566e+03
2.208000000000000000e+05,2.208000000000000000e+06,-9.355132299999999304e+03
2.210000000000000000e+05,2.210000000000000000e+06,-9.347780099999999948e+03
2.212000000000000000e+05,2.212000000000000000e+06,-9.342466099999999642e+03
2.214000000000000000e+05,2.214000000000000000e+06,-9.351226300000000265e+03
2.216000000000000000e+05,2.216000000000000000e+06,-9.345774100000000544e+03
2.218000000000000000e+05,2.218000000000000000e+06,-9.343836199999999735e+03
2.220000000000000000e+05,2.220000000000000000e+06,-9.350423300000000381e+03
2.222000000000000000e+05,2.222000000000000000e+06,-9.350822700000000623e+03
2.224000000000000000e+05,2.224000000000000000e+06,-9.340654500000000553e+03
2.226000000000000000e+05,2.226000000000000000e+06,-9.351346900000000460e+03
2.228000000000000000e+05,2.228000000000000000e+06,-9.343681300000000192e+03
2.230000000000000000e+05,2.230000000000000000e+06,-9.333234200000000783e+03
2.232000000000000000e+05,2.232000000000000000e+06,-9.340771600000000035e+03
2.234000000000000000e+05,2.234000000000000000e+06,-9.347038300000000163e+03
2.236000000000000000e+05,2.236000000000000000e+06,-9.343910400000000664e+03
2.238000000000000000e+05,2.238000000000000000e+06,-9.343894899999999325e+03
2.240000000000000000e+05,2.240000000000000000e+06,-9.352515499999999520e+03
2.242000000000000000e+05,2.242000000000000000e+06,-9.339606499999999869e+03
2.244000000000000000e+05,2.244000000000000000e+06,-9.352306699999999182e+03
2.246000000000000000e+05,2.246000000000000000e+06,-9.340384099999999307e+03
2.248000000000000000e+05,2.248000000000000000e+06,-9.336584399999999732e+03
2.250000000000000000e+05,2.250000000000000000e+06,-9.353396199999999226e+03
